rank,file,folder,affinity_kcal_mol,Kd_M,full_path
107,CD39_nanobody_100.pdb,CD39_nanobody_150,-6.7,1.2e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_100.pdb
108,CD39_nanobody_103.pdb,CD39_nanobody_150_2,-6.7,1.2e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_103.pdb
109,CD39_nanobody_113.pdb,CD39_nanobody_150,-6.7,1.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_113.pdb
110,CD39_nanobody_130.pdb,CD39_nanobody_150_2,-6.7,1.2e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_130.pdb
111,CD39_nanobody_139.pdb,CD39_nanobody_150_2,-6.7,1.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_139.pdb
112,CD39_nanobody_14.pdb,CD39_nanobody_150,-6.7,1.2e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_14.pdb
113,CD39_nanobody_148.pdb,CD39_nanobody_150,-6.7,1.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_148.pdb
114,CD39_nanobody_34.pdb,CD39_nanobody_150_2,-6.7,1.2e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_34.pdb
115,CD39_nanobody_36.pdb,CD39_nanobody_150_2,-6.7,1.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_36.pdb
116,CD39_nanobody_43.pdb,CD39_nanobody_150,-6.7,1.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_43.pdb
117,CD39_nanobody_60.pdb,CD39_nanobody_150_2,-6.7,1.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_60.pdb
118,CD39_nanobody_75.pdb,CD39_nanobody_150_2,-6.7,1.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_75.pdb
119,CD39_nanobody_82.pdb,CD39_nanobody_150_2,-6.7,1.2e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_82.pdb
120,CD39_nanobody_95.pdb,CD39_nanobody_150,-6.7,1.2e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_95.pdb
121,CD39_nanobody_1.pdb,CD39_nanobody_150_2,-6.6,1.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_1.pdb
122,CD39_nanobody_109.pdb,CD39_nanobody_150,-6.6,1.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_109.pdb
123,CD39_nanobody_130.pdb,CD39_nanobody_150,-6.6,1.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_130.pdb
124,CD39_nanobody_40.pdb,CD39_nanobody_150_2,-6.6,1.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_40.pdb
125,CD39_nanobody_48.pdb,CD39_nanobody_150_2,-6.6,1.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_48.pdb
126,CD39_nanobody_6.pdb,CD39_nanobody_150_2,-6.6,1.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_6.pdb
127,CD39_nanobody_79.pdb,CD39_nanobody_150,-6.6,1.5e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_79.pdb
128,CD39_nanobody_86.pdb,CD39_nanobody_150,-6.6,1.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_86.pdb
129,CD39_nanobody_96.pdb,CD39_nanobody_150,-6.6,1.5e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_96.pdb
130,CD39_nanobody_115.pdb,CD39_nanobody_150,-6.5,1.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_115.pdb
131,CD39_nanobody_136.pdb,CD39_nanobody_150,-6.5,1.7e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_136.pdb
